sample_name	body_habita	collection_timestamp	date	description	dna_extracted	elevation	env_biome	env_feature	env_material	env_package	geo_loc_name	host_body_habitat	host_body_product	host_body_site	host_common_name	host_scientific_name	host_subject_id	host_taxid	latitude	location	loccat	longitude	physical_location	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_type	scientific_name	surcat	surface	title
10172.10008	not applicable	12/4/13 12:00	12/4/13	S10.Corridor Floor.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	S10.Corridor Floor.283	not applicable	41.47	s10	s10	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Corridor Floor	indoor metagenome	Station_Surface	Corridor Floor	Hospital-associated microbiota and implications for nosocomial infections
10172.10009	not applicable	12/4/13 12:00	12/4/13	S10.Hot Tap Water.283	true	210.3	urban biome	hospital	water	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	S10.Hot Tap Water.283	not applicable	41.47	s10	s10	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Hot Tap Water	indoor metagenome	Water	Hot Tap Water	Hospital-associated microbiota and implications for nosocomial infections
10172.1001	UBERON:skin	2/27/13 12:00	2/27/13	R9018.Hand.3	true	210.3	urban biome	human-associated habitat	sebum	human-skin	USA:IL:Chicago	UBERON:skin	UBERON:sebum	UBERON:hand skin	human	Homo sapiens	R9018.Hand.3	9606	41.47	R9018	R9018	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Host-associated	Animal	Animal corpus	10172	Hand	human skin metagenome	Patient_Skin	Hand	Hospital-associated microbiota and implications for nosocomial infections
10172.10010	not applicable	12/4/13 12:00	12/4/13	S10.Cold Tap Water.283	true	210.3	urban biome	hospital	water	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	S10.Cold Tap Water.283	not applicable	41.47	s10	s10	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Cold Tap Water	indoor metagenome	Water	Cold Tap Water	Hospital-associated microbiota and implications for nosocomial infections
10172.10011	UBERON:skin	12/4/13 12:00	12/4/13	Staff 10-A.Hand.283	true	210.3	urban biome	human-associated habitat	sebum	human-skin	USA:IL:Chicago	UBERON:skin	UBERON:sebum	UBERON:hand skin	human	Homo sapiens	Staff 10-A.Hand.283	9606	41.47	Staff 10-A	Staff 10-A	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Host-associated	Animal	Animal corpus	10172	Hand	human skin metagenome	Staff_Skin	Hand	Hospital-associated microbiota and implications for nosocomial infections
10172.10012	UBERON:skin	12/4/13 12:00	12/4/13	Staff 10-A.Nose.283	true	210.3	urban biome	human-associated habitat	sebum	human-skin	USA:IL:Chicago	UBERON:skin	UBERON:sebum	UBERON:nose skin	human	Homo sapiens	Staff 10-A.Nose.283	9606	41.47	Staff 10-A	Staff 10-A	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Host-associated	Animal	Animal corpus	10172	Nose	human skin metagenome	Staff_Skin	Nose	Hospital-associated microbiota and implications for nosocomial infections
10172.10013	not applicable	12/4/13 12:00	12/4/13	Staff 10-A.Shoe.283	true	210.3	urban biome	hospital	anthropogenic environmental material	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	Staff 10-A.Shoe.283	not applicable	41.47	staff 10-a	staff 10-a	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Shoe	indoor metagenome	Staff_Surface	Shoe	Hospital-associated microbiota and implications for nosocomial infections
10172.10014	not applicable	12/4/13 12:00	12/4/13	Staff 10-A.Personal Cell Phone.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	Staff 10-A.Personal Cell Phone.283	not applicable	41.47	staff 10-a	staff 10-a	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Personal Cell Phone	indoor metagenome	Staff_Surface	Personal Cell Phone	Hospital-associated microbiota and implications for nosocomial infections
10172.10015	not applicable	12/4/13 12:00	12/4/13	Staff 10-A.Hospital Pager.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	Staff 10-A.Hospital Pager.283	not applicable	41.47	staff 10-a	staff 10-a	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Hospital Pager	indoor metagenome	Staff_Surface	Hospital Pager	Hospital-associated microbiota and implications for nosocomial infections
10172.10016	not applicable	12/4/13 12:00	12/4/13	Staff 10-A.Shirt Hem.283	true	210.3	urban biome	hospital	anthropogenic environmental material	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	Staff 10-A.Shirt Hem.283	not applicable	41.47	staff 10-a	staff 10-a	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Shirt Hem	indoor metagenome	Staff_Surface	Shirt Hem	Hospital-associated microbiota and implications for nosocomial infections
10172.10017	UBERON:skin	12/4/13 12:00	12/4/13	Staff 10-B.Hand.283	true	210.3	urban biome	human-associated habitat	sebum	human-skin	USA:IL:Chicago	UBERON:skin	UBERON:sebum	UBERON:hand skin	human	Homo sapiens	Staff 10-B.Hand.283	9606	41.47	Staff 10-B	Staff 10-B	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Host-associated	Animal	Animal corpus	10172	Hand	human skin metagenome	Staff_Skin	Hand	Hospital-associated microbiota and implications for nosocomial infections
10172.10018	UBERON:skin	12/4/13 12:00	12/4/13	Staff 10-B.Nose.283	true	210.3	urban biome	human-associated habitat	sebum	human-skin	USA:IL:Chicago	UBERON:skin	UBERON:sebum	UBERON:nose skin	human	Homo sapiens	Staff 10-B.Nose.283	9606	41.47	Staff 10-B	Staff 10-B	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Host-associated	Animal	Animal corpus	10172	Nose	human skin metagenome	Staff_Skin	Nose	Hospital-associated microbiota and implications for nosocomial infections
10172.1002	UBERON:skin	2/27/13 12:00	2/27/13	R9018.Nose.3	true	210.3	urban biome	human-associated habitat	sebum	human-skin	USA:IL:Chicago	UBERON:skin	UBERON:sebum	UBERON:nose skin	human	Homo sapiens	R9018.Nose.3	9606	41.47	R9018	R9018	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Host-associated	Animal	Animal corpus	10172	Nose	human skin metagenome	Patient_Skin	Nose	Hospital-associated microbiota and implications for nosocomial infections
10172.10021	not applicable	12/4/13 12:00	12/4/13	Staff 10-B.Hospital Pager.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	Staff 10-B.Hospital Pager.283	not applicable	41.47	staff 10-b	staff 10-b	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Hospital Pager	indoor metagenome	Staff_Surface	Hospital Pager	Hospital-associated microbiota and implications for nosocomial infections
10172.10023	UBERON:skin	12/4/13 12:00	12/4/13	Staff 10-C.Hand.283	true	210.3	urban biome	human-associated habitat	sebum	human-skin	USA:IL:Chicago	UBERON:skin	UBERON:sebum	UBERON:hand skin	human	Homo sapiens	Staff 10-C.Hand.283	9606	41.47	Staff 10-C	Staff 10-C	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Host-associated	Animal	Animal corpus	10172	Hand	human skin metagenome	Staff_Skin	Hand	Hospital-associated microbiota and implications for nosocomial infections
10172.10024	UBERON:skin	12/4/13 12:00	12/4/13	Staff 10-C.Nose.283	true	210.3	urban biome	human-associated habitat	sebum	human-skin	USA:IL:Chicago	UBERON:skin	UBERON:sebum	UBERON:nose skin	human	Homo sapiens	Staff 10-C.Nose.283	9606	41.47	Staff 10-C	Staff 10-C	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Host-associated	Animal	Animal corpus	10172	Nose	human skin metagenome	Staff_Skin	Nose	Hospital-associated microbiota and implications for nosocomial infections
10172.10025	not applicable	12/4/13 12:00	12/4/13	Staff 10-C.Shoe.283	true	210.3	urban biome	hospital	anthropogenic environmental material	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	Staff 10-C.Shoe.283	not applicable	41.47	staff 10-c	staff 10-c	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Shoe	indoor metagenome	Staff_Surface	Shoe	Hospital-associated microbiota and implications for nosocomial infections
10172.10026	not applicable	12/4/13 12:00	12/4/13	Staff 10-C.Personal Cell Phone.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	Staff 10-C.Personal Cell Phone.283	not applicable	41.47	staff 10-c	staff 10-c	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Personal Cell Phone	indoor metagenome	Staff_Surface	Personal Cell Phone	Hospital-associated microbiota and implications for nosocomial infections
10172.10027	not applicable	12/4/13 12:00	12/4/13	Staff 10-C.Hospital Pager.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	Staff 10-C.Hospital Pager.283	not applicable	41.47	staff 10-c	staff 10-c	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Hospital Pager	indoor metagenome	Staff_Surface	Hospital Pager	Hospital-associated microbiota and implications for nosocomial infections
10172.10028	not applicable	12/4/13 12:00	12/4/13	Staff 10-C.Shirt Hem.283	true	210.3	urban biome	hospital	anthropogenic environmental material	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	Staff 10-C.Shirt Hem.283	not applicable	41.47	staff 10-c	staff 10-c	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Shirt Hem	indoor metagenome	Staff_Surface	Shirt Hem	Hospital-associated microbiota and implications for nosocomial infections
10172.10029	UBERON:skin	12/4/13 12:00	12/4/13	Staff 10-D.Hand.283	true	210.3	urban biome	human-associated habitat	sebum	human-skin	USA:IL:Chicago	UBERON:skin	UBERON:sebum	UBERON:hand skin	human	Homo sapiens	Staff 10-D.Hand.283	9606	41.47	Staff 10-D	Staff 10-D	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Host-associated	Animal	Animal corpus	10172	Hand	human skin metagenome	Staff_Skin	Hand	Hospital-associated microbiota and implications for nosocomial infections
10172.1003	UBERON:skin	2/27/13 12:00	2/27/13	R9018.Inguinal Fold.3	true	210.3	urban biome	human-associated habitat	sebum	human-skin	USA:IL:Chicago	UBERON:skin	UBERON:sebum	UBERON:abdomen skin	human	Homo sapiens	R9018.Inguinal Fold.3	9606	41.47	R9018	R9018	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Host-associated	Animal	Animal corpus	10172	Inguinal Fold	human skin metagenome	Patient_Skin	Inguinal Fold	Hospital-associated microbiota and implications for nosocomial infections
10172.10030	UBERON:skin	12/4/13 12:00	12/4/13	Staff 10-D.Nose.283	true	210.3	urban biome	human-associated habitat	sebum	human-skin	USA:IL:Chicago	UBERON:skin	UBERON:sebum	UBERON:nose skin	human	Homo sapiens	Staff 10-D.Nose.283	9606	41.47	Staff 10-D	Staff 10-D	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Host-associated	Animal	Animal corpus	10172	Nose	human skin metagenome	Staff_Skin	Nose	Hospital-associated microbiota and implications for nosocomial infections
10172.10031	not applicable	12/4/13 12:00	12/4/13	Staff 10-D.Shoe.283	true	210.3	urban biome	hospital	anthropogenic environmental material	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	Staff 10-D.Shoe.283	not applicable	41.47	staff 10-d	staff 10-d	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Shoe	indoor metagenome	Staff_Surface	Shoe	Hospital-associated microbiota and implications for nosocomial infections
10172.10032	not applicable	12/4/13 12:00	12/4/13	Staff 10-D.Personal Cell Phone.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	Staff 10-D.Personal Cell Phone.283	not applicable	41.47	staff 10-d	staff 10-d	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Personal Cell Phone	indoor metagenome	Staff_Surface	Personal Cell Phone	Hospital-associated microbiota and implications for nosocomial infections
10172.10033	not applicable	12/4/13 12:00	12/4/13	Staff 10-D.Hospital Pager.283	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	Staff 10-D.Hospital Pager.283	not applicable	41.47	staff 10-d	staff 10-d	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Hospital Pager	indoor metagenome	Staff_Surface	Hospital Pager	Hospital-associated microbiota and implications for nosocomial infections
10172.10034	not applicable	12/4/13 12:00	12/4/13	Staff 10-D.Shirt Hem.283	true	210.3	urban biome	hospital	anthropogenic environmental material	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	Staff 10-D.Shirt Hem.283	not applicable	41.47	staff 10-d	staff 10-d	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Shirt Hem	indoor metagenome	Staff_Surface	Shirt Hem	Hospital-associated microbiota and implications for nosocomial infections
10172.10035	not applicable	12/4/13 12:00	12/4/13	NA.BLANK.283	true	210.3	urban biome	research facility	sterile water	misc environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	NA.BLANK.283	not applicable	41.47	not applicable	not applicable	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Control	Negative	Sterile water blank	10172	blank control	metagenome	NA	BLANK	Hospital-associated microbiota and implications for nosocomial infections
10172.10036	UBERON:skin	12/5/13 12:00	12/5/13	R9016.Hand.284	true	210.3	urban biome	human-associated habitat	sebum	human-skin	USA:IL:Chicago	UBERON:skin	UBERON:sebum	UBERON:hand skin	human	Homo sapiens	R9016.Hand.284	9606	41.47	R9016	R9016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Host-associated	Animal	Animal corpus	10172	Hand	human skin metagenome	Patient_Skin	Hand	Hospital-associated microbiota and implications for nosocomial infections
10172.10037	UBERON:skin	12/5/13 12:00	12/5/13	R9016.Nose.284	true	210.3	urban biome	human-associated habitat	sebum	human-skin	USA:IL:Chicago	UBERON:skin	UBERON:sebum	UBERON:nose skin	human	Homo sapiens	R9016.Nose.284	9606	41.47	R9016	R9016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Host-associated	Animal	Animal corpus	10172	Nose	human skin metagenome	Patient_Skin	Nose	Hospital-associated microbiota and implications for nosocomial infections
10172.10038	UBERON:skin	12/5/13 12:00	12/5/13	R9016.Axilla.284	true	210.3	urban biome	human-associated habitat	sebum	human-skin	USA:IL:Chicago	UBERON:skin	UBERON:sebum	UBERON:axilla skin	human	Homo sapiens	R9016.Axilla.284	9606	41.47	R9016	R9016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Host-associated	Animal	Animal secretion	10172	Axilla	human skin metagenome	Patient_Skin	Axilla	Hospital-associated microbiota and implications for nosocomial infections
10172.10039	not applicable	12/5/13 12:00	12/5/13	R9016.Bedrail.284	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R9016.Bedrail.284	not applicable	41.47	r9016	r9016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Bedrail	indoor metagenome	Room_Surface	Bedrail	Hospital-associated microbiota and implications for nosocomial infections
10172.1004	not applicable	2/27/13 12:00	2/27/13	R9018.Bedrail.3	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R9018.Bedrail.3	not applicable	41.47	r9018	r9018	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Bedrail	indoor metagenome	Room_Surface	Bedrail	Hospital-associated microbiota and implications for nosocomial infections
10172.10040	not applicable	12/5/13 12:00	12/5/13	R9016.Glove from Glove Box.284	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R9016.Glove from Glove Box.284	not applicable	41.47	r9016	r9016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Glove from Glove Box	indoor metagenome	Glove	Glove from Glove Box	Hospital-associated microbiota and implications for nosocomial infections
10172.10041	not applicable	12/5/13 12:00	12/5/13	R9016.Floor.284	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R9016.Floor.284	not applicable	41.47	r9016	r9016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Floor	indoor metagenome	Room_Surface	Floor	Hospital-associated microbiota and implications for nosocomial infections
10172.10042	not applicable	12/5/13 12:00	12/5/13	R9016.Cold Tap Faucet Handle.284	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R9016.Cold Tap Faucet Handle.284	not applicable	41.47	r9016	r9016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Cold Tap Faucet Handle	indoor metagenome	Room_Surface	Cold Tap Faucet Handle	Hospital-associated microbiota and implications for nosocomial infections
10172.10046	not applicable	12/5/13 12:00	12/5/13	R10016.Bedrail.284	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R10016.Bedrail.284	not applicable	41.47	r10016	r10016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Bedrail	indoor metagenome	Room_Surface	Bedrail	Hospital-associated microbiota and implications for nosocomial infections
10172.10047	not applicable	12/5/13 12:00	12/5/13	R10016.Glove from Glove Box.284	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R10016.Glove from Glove Box.284	not applicable	41.47	r10016	r10016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Glove from Glove Box	indoor metagenome	Glove	Glove from Glove Box	Hospital-associated microbiota and implications for nosocomial infections
10172.10048	not applicable	12/5/13 12:00	12/5/13	R10016.Floor.284	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R10016.Floor.284	not applicable	41.47	r10016	r10016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Floor	indoor metagenome	Room_Surface	Floor	Hospital-associated microbiota and implications for nosocomial infections
10172.10049	not applicable	12/5/13 12:00	12/5/13	R10016.Cold Tap Faucet Handle.284	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R10016.Cold Tap Faucet Handle.284	not applicable	41.47	r10016	r10016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Cold Tap Faucet Handle	indoor metagenome	Room_Surface	Cold Tap Faucet Handle	Hospital-associated microbiota and implications for nosocomial infections
10172.10050	not applicable	12/5/13 12:00	12/5/13	NA.BLANK.284	true	210.3	urban biome	research facility	sterile water	misc environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	NA.BLANK.284	not applicable	41.47	not applicable	not applicable	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Control	Negative	Sterile water blank	10172	blank control	metagenome	NA	BLANK	Hospital-associated microbiota and implications for nosocomial infections
10172.10054	not applicable	12/6/13 12:00	12/6/13	R9016.Bedrail.285	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R9016.Bedrail.285	not applicable	41.47	r9016	r9016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Bedrail	indoor metagenome	Room_Surface	Bedrail	Hospital-associated microbiota and implications for nosocomial infections
10172.10055	not applicable	12/6/13 12:00	12/6/13	R9016.Glove from Glove Box.285	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R9016.Glove from Glove Box.285	not applicable	41.47	r9016	r9016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Glove from Glove Box	indoor metagenome	Glove	Glove from Glove Box	Hospital-associated microbiota and implications for nosocomial infections
10172.10056	not applicable	12/6/13 12:00	12/6/13	R9016.Floor.285	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R9016.Floor.285	not applicable	41.47	r9016	r9016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Floor	indoor metagenome	Room_Surface	Floor	Hospital-associated microbiota and implications for nosocomial infections
10172.10057	not applicable	12/6/13 12:00	12/6/13	R9016.Cold Tap Faucet Handle.285	true	210.3	urban biome	hospital	surface layer	built environment	USA:IL:Chicago	not applicable	not applicable	not applicable	not applicable	not applicable	R9016.Cold Tap Faucet Handle.285	not applicable	41.47	r9016	r9016	-87.36	UChicago Center for Care and Discovery	U Chicago	false	true	Free-living	Non-saline	Surface (non-saline)	10172	Cold Tap Faucet Handle	indoor metagenome	Room_Surface	Cold Tap Faucet Handle	Hospital-associated microbiota and implications for nosocomial infections
